Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,603858,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",SHH,0.04
2017-11-30,000300,沪深300,CSI 300,603993,洛阳钼业,"China Molybdenum Co., Ltd.",SHH,0.17
2017-11-30,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",SHZ,1.01
2017-11-30,000300,沪深300,CSI 300,000002,万科Ａ,China Vanke Co Ltd,SHZ,1.87
2017-11-30,000300,沪深300,CSI 300,000008,神州高铁,"China High-Speed Railway Technology Co., Ltd.",SHZ,0.13
2017-11-30,000300,沪深300,CSI 300,000009,中国宝安,"China Baoan Group Co.,Ltd.",SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,000060,中金岭南,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,SHZ,0.16
2017-11-30,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,SHZ,0.69
2017-11-30,000300,沪深300,CSI 300,000069,华侨城Ａ,Shenzhen Overseas Chinese Town Co Ltd,SHZ,0.26
2017-11-30,000300,沪深300,CSI 300,000100,TCL集团,TCL Corporation,SHZ,0.27
2017-11-30,000300,沪深300,CSI 300,000156,华数传媒,"WASU MEDIA HOLDING CO., LTD",SHZ,0.07
2017-11-30,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,SHZ,0.17
2017-11-30,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",SHZ,0.3
2017-11-30,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",SHZ,2.04
2017-11-30,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,SHZ,0.35
2017-11-30,000300,沪深300,CSI 300,000402,金 融 街,Financial Street Holding Co Ltd,SHZ,0.12
2017-11-30,000300,沪深300,CSI 300,000413,东旭光电,"Dongxu Optoelectronic Technology Co., Ltd.",SHZ,0.21
2017-11-30,000300,沪深300,CSI 300,000415,渤海金控,"Bohai Financial Investment Holding Co.,Ltd.",SHZ,0.1
2017-11-30,000300,沪深300,CSI 300,000423,东阿阿胶,Shandong Dong-Ee Jiao Co Ltd,SHZ,0.28
2017-11-30,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,000503,海虹控股,Searainbow Holding Corp,SHZ,0.16
2017-11-30,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",SHZ,0.43
2017-11-30,000300,沪深300,CSI 300,000540,中天金融,Zhongtian Financial Group Company Limited,SHZ,0.18
2017-11-30,000300,沪深300,CSI 300,000555,神州信息,Digital China Information Service Company Ltd.,SHZ,0.04
2017-11-30,000300,沪深300,CSI 300,000559,万向钱潮,Wanxiang Qianchao Co Ltd,SHZ,0.12
2017-11-30,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,SHZ,0.37
2017-11-30,000300,沪深300,CSI 300,000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",SHZ,0.19
2017-11-30,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,SHZ,0.23
2017-11-30,000300,沪深300,CSI 300,000627,天茂集团,Hubei Biocause Pharmaceutical Co Ltd,SHZ,0.12
2017-11-30,000300,沪深300,CSI 300,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,SHZ,0.16
2017-11-30,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",SHZ,1.8
2017-11-30,000300,沪深300,CSI 300,000671,阳光城,"Sunshine City Group Co., Ltd.",SHZ,0.1
2017-11-30,000300,沪深300,CSI 300,000686,东北证券,Northeast Securities Co Ltd,SHZ,0.12
2017-11-30,000300,沪深300,CSI 300,000709,河钢股份,HESTEEL COMPANY LIMITED,SHZ,0.16
2017-11-30,000300,沪深300,CSI 300,000718,苏宁环球,Suning Universal Co Ltd,SHZ,0.07
2017-11-30,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,SHZ,1.12
2017-11-30,000300,沪深300,CSI 300,000728,国元证券,Guoyuan Securities Company Limited,SHZ,0.22
2017-11-30,000300,沪深300,CSI 300,000738,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",SHZ,0.07
2017-11-30,000300,沪深300,CSI 300,000750,国海证券,"Sealand Securities Co., Ltd.",SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,000768,中航飞机,"Avic Aircraft Co.,Ltd.",SHZ,0.21
2017-11-30,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",SHZ,0.46
2017-11-30,000300,沪深300,CSI 300,000783,长江证券,Changjiang Securities Company Limited,SHZ,0.26
2017-11-30,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,SHZ,0.17
2017-11-30,000300,沪深300,CSI 300,000793,华闻传媒,China Media Group,SHZ,0.19
2017-11-30,000300,沪深300,CSI 300,000826,启迪桑德,"TUS-SOUND ENVIRONMENTAL RESOURCES CO., LTD.",SHZ,0.16
2017-11-30,000300,沪深300,CSI 300,000839,中信国安,CITIC Guoan Information Industry Co Ltd,SHZ,0.23
2017-11-30,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,SHZ,1.09
2017-11-30,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,SHZ,0.22
2017-11-30,000300,沪深300,CSI 300,000917,电广传媒,Hunan TV & Broadcast Intermediary Co Ltd,SHZ,0.09
2017-11-30,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",SHZ,0.09
2017-11-30,000300,沪深300,CSI 300,000959,首钢股份,Beijing Shougang Co Ltd,SHZ,0.09
2017-11-30,000300,沪深300,CSI 300,000961,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",SHZ,0.06
2017-11-30,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,SHZ,0.21
2017-11-30,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",SHZ,0.13
2017-11-30,000300,沪深300,CSI 300,000983,西山煤电,Shanxi Xishan Coal And Electricity Power Co Ltd,SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",SHZ,0.41
2017-11-30,000300,沪深300,CSI 300,002007,华兰生物,Hualan Biological Engineering INC,SHZ,0.14
2017-11-30,000300,沪深300,CSI 300,002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",SHZ,0.36
2017-11-30,000300,沪深300,CSI 300,002024,苏宁云商,"SUNING COMMERCE GROUP CO., LTD.",SHZ,0.39
2017-11-30,000300,沪深300,CSI 300,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",SHZ,0.18
2017-11-30,000300,沪深300,CSI 300,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",SHZ,0.18
